Entry Date,Exit Date,Entry Price,Exit Price,Stop Loss,Target,Quantity,Indicator Score,ADX,Profit %,Net Profit,Capital
2022-07-07,2022-07-11,667.93,653.1,653.1,697.59,67,70,25.96,-2.38,-1064.4,98935.6
2022-08-02,2022-08-02,678.65,663.32,663.32,709.31,64,80,27.17,-2.42,-1049.81,97885.78
2022-08-10,2022-08-23,692.13,718.76,678.81,718.76,73,70,31.82,3.68,1861.6,99747.38
2022-08-25,2022-08-26,722.09,706.96,706.96,752.33,65,85,52.09,-2.25,-1057.39,98689.99
2022-08-30,2022-09-06,699.98,730.85,684.55,730.85,63,90,51.62,4.25,1872.8,100562.8
2022-09-08,2022-09-21,735.85,756.41,714.45,778.66,46,100,46.37,2.63,890.54,101453.34
2022-11-03,2022-11-16,785.05,814.6,770.28,814.6,68,80,23.82,3.6,1921.84,103375.18
2022-11-18,2022-11-18,824.03,808.69,808.69,854.71,67,90,48.78,-2.02,-1115.45,102259.73
2022-11-22,2022-11-28,827.37,811.44,811.44,859.24,64,90,45.51,-2.08,-1103.49,101156.24
2022-11-30,2022-12-13,809.34,812.49,795.07,837.89,70,70,35.07,0.23,129.74,101285.98
2023-04-20,2023-04-28,740.7,766.45,727.82,766.45,78,70,25.89,3.31,1914.78,103200.76
2023-05-03,2023-05-03,770.27,756.71,756.71,797.4,76,80,44.26,-1.92,-1123.6,102077.16
2023-05-05,2023-05-18,765.03,774.97,750.15,794.8,68,70,47.87,1.14,591.97,102669.13
2023-05-22,2023-05-26,776.57,802.07,763.82,802.07,80,90,34.0,3.12,1938.8,104607.92
2023-05-30,2023-05-31,796.2,821.28,783.67,821.28,83,90,30.72,2.99,1973.87,106581.79
2023-06-02,2023-06-15,807.4,804.4,789.31,843.58,58,100,39.62,-0.53,-249.11,106332.68
2023-06-27,2023-06-30,830.38,855.81,817.66,855.81,83,75,47.24,2.9,1998.62,108331.3
2023-07-04,2023-07-04,847.15,834.6,834.6,872.25,86,75,42.11,-1.64,-1194.84,107136.46
2023-07-06,2023-07-11,837.99,864.08,824.94,864.08,82,75,38.87,2.95,2028.01,109164.46
2023-07-13,2023-07-17,864.17,849.6,849.6,893.31,74,75,46.19,-1.84,-1179.65,107984.81
2023-07-19,2023-08-01,848.75,864.46,834.34,877.58,74,70,44.22,1.69,1060.82,109045.63
2023-09-20,2023-10-04,887.27,900.18,872.23,917.37,72,75,26.81,1.29,826.2,109871.83
2023-10-06,2023-10-17,905.0,934.78,890.11,934.78,73,100,60.97,3.13,2066.15,111937.98
2023-10-19,2023-10-25,921.17,909.13,909.13,945.25,92,75,49.26,-1.47,-1242.6,110695.38
2023-11-16,2023-11-21,924.28,949.3,911.78,949.3,88,80,24.87,2.54,2069.58,112764.95
2023-11-23,2023-11-29,944.74,966.23,933.99,966.23,104,75,33.13,2.11,2076.65,114841.61
2023-12-01,2023-12-04,988.57,1015.5,975.1,1015.5,85,85,53.92,2.56,2153.35,116994.96
2023-12-06,2023-12-07,1002.3,985.61,985.61,1035.67,70,85,71.54,-1.82,-1279.34,115715.62
2023-12-11,2023-12-20,970.16,951.78,951.78,1006.92,62,85,76.7,-2.05,-1234.88,114480.74
2023-12-29,2024-01-01,1006.24,989.39,989.39,1039.96,67,75,29.7,-1.83,-1236.34,113244.4
2024-01-05,2024-01-15,1026.35,1065.87,1006.6,1065.87,57,70,21.76,3.69,2156.94,115401.33
2024-01-17,2024-01-19,1063.56,1105.03,1042.83,1105.03,55,85,38.04,3.74,2185.41,117586.74
2024-01-24,2024-01-24,1110.41,1161.7,1084.76,1161.7,45,85,50.79,4.46,2226.38,119813.12
2024-01-29,2024-02-05,1127.84,1098.67,1098.67,1186.17,41,85,58.89,-2.74,-1268.86,118544.26
2024-02-07,2024-02-13,1109.14,1075.74,1075.74,1175.93,35,80,62.33,-3.17,-1230.04,117314.22
2024-03-27,2024-04-10,1179.02,1197.38,1149.75,1237.57,40,100,25.76,1.4,658.31,117972.53
2024-04-15,2024-04-18,1179.07,1227.96,1154.63,1227.96,48,80,25.02,3.98,2254.08,120226.61
2024-04-22,2024-05-03,1270.04,1241.49,1241.49,1327.13,42,100,25.35,-2.41,-1283.23,118943.38
2024-05-07,2024-05-16,1252.85,1313.66,1222.44,1313.66,39,70,41.18,4.69,2291.77,121235.16
2024-05-21,2024-06-03,1320.68,1376.82,1292.62,1376.82,43,90,27.66,4.09,2321.0,123556.16
2024-06-11,2024-06-20,1388.86,1342.96,1342.96,1480.66,26,75,39.04,-3.46,-1250.25,122305.91
2024-06-28,2024-06-28,1496.24,1460.63,1460.63,1567.46,34,85,25.02,-2.54,-1291.12,121014.79
2024-07-02,2024-07-02,1423.92,1385.58,1385.58,1500.6,31,90,30.89,-2.85,-1258.19,119756.6
2024-07-04,2024-07-18,1381.07,1445.01,1340.43,1462.34,29,70,33.64,4.47,1788.71,121545.31
2024-07-22,2024-07-26,1412.24,1462.12,1387.3,1462.12,48,75,39.64,3.37,2283.89,123829.19
2024-07-30,2024-08-05,1445.74,1415.77,1415.77,1505.68,41,90,40.38,-2.23,-1322.63,122506.57
2024-08-07,2024-08-21,1422.07,1433.28,1387.09,1492.01,35,80,36.1,0.63,312.54,122819.1
2024-08-30,2024-09-04,1543.51,1515.64,1515.64,1599.24,44,85,25.32,-1.96,-1333.83,121485.27
2024-09-06,2024-09-09,1520.79,1492.11,1492.11,1578.14,42,90,41.11,-2.04,-1305.58,120179.69
2024-09-11,2024-09-12,1545.91,1604.7,1516.51,1604.7,40,75,48.74,3.64,2250.82,122430.51
2024-09-16,2024-09-19,1600.75,1665.21,1568.52,1665.21,37,75,59.56,3.86,2288.25,124718.77
2024-09-23,2024-10-03,1683.56,1649.94,1649.94,1750.8,37,85,58.89,-2.16,-1342.51,123376.25
2024-10-07,2024-10-15,1616.96,1688.86,1581.01,1688.86,34,80,60.98,4.28,2354.71,125730.96
2024-12-06,2024-12-10,1584.64,1543.04,1543.04,1667.86,30,80,35.01,-2.78,-1323.25,124407.71
2024-12-12,2024-12-13,1545.96,1624.22,1506.83,1624.22,31,70,27.85,4.9,2347.43,126755.14
2024-12-17,2024-12-17,1616.47,1577.06,1577.06,1695.31,32,90,33.58,-2.6,-1343.09,125412.05
2024-12-19,2025-01-02,1553.69,1576.51,1512.89,1635.3,30,90,34.48,1.31,609.46,126021.51
2025-01-28,2025-01-31,1574.51,1542.89,1542.89,1637.73,39,80,22.35,-2.17,-1330.17,124691.34
2025-02-03,2025-02-07,1586.5,1653.76,1552.88,1653.76,37,70,25.27,4.08,2392.55,127083.89
2025-03-12,2025-03-12,1655.16,1616.78,1616.78,1731.91,33,75,29.45,-2.48,-1352.73,125731.16
2025-03-17,2025-03-20,1578.96,1663.04,1536.92,1663.04,29,85,30.5,5.16,2363.11,128094.26
2025-03-24,2025-03-28,1704.13,1666.88,1666.88,1778.62,34,85,30.3,-2.34,-1358.13,126736.14
2025-04-02,2025-04-07,1684.54,1642.65,1642.65,1768.32,30,85,34.04,-2.64,-1336.54,125399.6
2025-04-09,2025-04-15,1684.2,1775.85,1638.37,1775.85,27,80,34.55,5.28,2399.8,127799.39
2025-04-17,2025-05-02,1796.19,1810.1,1749.6,1889.36,27,70,23.67,0.61,297.6,128096.99
2025-05-06,2025-05-09,1849.37,1804.43,1804.43,1939.26,28,70,25.31,-2.59,-1340.26,126756.74
2025-05-13,2025-05-13,1831.45,1790.96,1790.96,1912.41,31,70,31.21,-2.37,-1344.83,125411.91
2025-05-16,2025-05-29,1796.19,1825.18,1754.35,1879.87,29,80,27.36,1.45,756.69,126168.6
2025-06-09,2025-06-09,1835.36,1811.77,1811.77,1882.56,53,70,24.45,-1.44,-1405.23,124763.37
2025-06-11,2025-06-12,1819.6,1795.65,1795.65,1867.49,52,70,26.02,-1.47,-1395.58,123367.79
2025-06-23,2025-06-26,1890.21,1952.82,1858.91,1952.82,39,85,25.06,3.15,2321.91,125689.7
2025-06-30,2025-07-10,1976.4,1942.76,1942.76,2043.67,37,75,37.05,-1.86,-1360.5,124329.2
2025-07-14,2025-07-24,1875.52,1945.42,1840.57,1945.42,35,80,63.63,3.56,2339.51,126668.71
