Entry Date,Exit Date,Entry Price,Exit Price,Stop Loss,Target,Quantity,Indicator Score,ADX,Profit %,Net Profit,Capital
2022-08-23,2022-08-29,687.9,677.09,677.09,709.52,92,70,68.43,-1.73,-1094.89,98905.11
2022-10-28,2022-11-01,686.34,710.28,674.37,710.28,82,80,25.07,3.33,1871.53,100776.64
2022-11-03,2022-11-11,708.92,734.45,696.15,734.45,78,85,25.37,3.44,1901.27,102677.9
2022-11-15,2022-11-21,768.3,753.79,753.79,797.33,70,85,31.92,-2.05,-1101.26,101576.64
2022-11-23,2022-12-06,759.71,762.62,746.32,786.5,75,75,52.48,0.22,126.99,101703.63
2022-12-08,2022-12-12,762.08,779.95,753.14,779.95,113,70,44.01,2.18,1880.13,103583.76
2022-12-14,2022-12-15,782.43,772.95,772.95,801.38,109,80,36.64,-1.37,-1168.61,102415.15
2022-12-19,2022-12-20,778.17,767.96,767.96,798.58,100,80,26.64,-1.47,-1144.41,101270.73
2023-01-20,2023-01-27,778.22,764.29,764.29,806.07,72,85,37.97,-1.95,-1091.54,100179.19
2023-01-31,2023-02-13,766.67,784.96,750.48,799.04,61,100,26.83,2.22,1040.25,101219.44
2023-03-10,2023-03-13,762.29,750.04,750.04,786.78,82,70,34.91,-1.76,-1103.24,100116.21
2023-04-11,2023-04-17,785.27,808.8,773.5,808.8,85,85,32.69,2.83,1892.08,102008.29
2023-04-19,2023-05-03,788.11,801.43,776.19,811.94,85,75,52.04,1.53,1024.5,103032.79
2023-05-05,2023-05-11,775.8,798.1,764.65,798.1,92,100,44.39,2.71,1935.54,104968.33
2023-07-04,2023-07-05,825.13,812.54,812.54,850.3,83,85,26.35,-1.68,-1153.42,103814.91
2023-07-07,2023-07-12,797.15,782.42,782.42,826.61,70,85,31.13,-2.01,-1119.48,102695.43
2023-07-14,2023-07-27,791.69,801.05,776.11,822.84,65,80,29.03,1.02,525.57,103221.0
2023-09-20,2023-09-20,765.55,754.83,754.83,786.98,96,70,37.36,-1.56,-1145.49,102075.51
