Entry Date,Exit Date,Entry Price,Exit Price,Stop Loss,Target,Quantity,Indicator Score,ADX,Profit %,Net Profit,Capital
2022-06-07,2022-06-09,712.78,698.66,698.66,741.01,70,70,33.2,-2.14,-1067.16,98932.84
2022-07-15,2022-07-19,724.56,750.67,711.5,750.67,75,70,36.89,3.44,1870.18,100803.01
2022-07-22,2022-07-25,759.04,786.64,745.24,786.64,73,75,51.86,3.47,1924.53,102727.54
2022-07-27,2022-08-01,764.72,793.15,750.5,793.15,72,75,60.26,3.55,1957.32,104684.86
2022-08-03,2022-08-08,786.6,812.52,773.64,812.52,80,85,62.12,3.13,1970.99,106655.85
2022-08-11,2022-08-23,832.26,818.3,818.3,860.17,76,85,69.15,-1.84,-1160.97,105494.88
2022-08-30,2022-09-08,832.69,864.38,816.85,864.38,66,70,52.38,3.64,2001.58,107496.47
2022-09-15,2022-09-19,890.27,873.75,873.75,923.31,65,80,22.25,-2.01,-1165.51,106330.95
2022-09-21,2022-09-22,882.53,866.69,866.69,914.19,67,80,30.43,-1.95,-1154.5,105176.45
2022-09-26,2022-09-27,841.88,825.74,825.74,874.17,65,80,35.58,-2.08,-1136.01,104040.44
2022-10-19,2022-10-20,870.96,851.87,851.87,909.14,54,75,28.34,-2.35,-1105.34,102935.1
2022-10-24,2022-10-28,895.11,877.17,877.17,930.98,57,85,30.86,-2.16,-1103.21,101831.89
2022-11-01,2022-11-01,891.24,873.12,873.12,927.48,56,90,35.41,-2.19,-1093.76,100738.14
2022-11-03,2022-11-17,871.93,890.07,852.99,909.81,53,90,35.08,1.92,886.93,101625.07
2022-11-22,2022-11-30,893.9,923.52,879.08,923.52,68,70,20.31,3.15,1915.63,103540.69
2022-12-02,2022-12-15,898.25,884.76,884.76,925.23,76,100,35.66,-1.66,-1133.56,102407.14
2023-04-18,2023-04-19,878.61,862.57,862.57,910.69,63,80,38.82,-1.98,-1098.23,101308.9
2023-04-21,2023-05-05,865.64,897.13,849.89,897.13,64,75,49.32,3.47,1925.18,103234.08
2023-05-09,2023-05-22,910.59,919.64,897.7,936.36,80,75,50.44,0.83,606.69,103840.77
