Entry Date,Exit Date,Entry Price,Exit Price,Stop Loss,Target,Quantity,Indicator Score,ADX,Profit %,Net Profit,Capital
2022-08-12,2022-08-18,1432.61,1401.29,1401.29,1495.23,31,70,30.1,-2.34,-1040.93,98959.07
2022-11-01,2022-11-03,1394.18,1368.14,1368.14,1446.24,38,70,42.32,-2.03,-1073.19,97885.88
2022-11-14,2022-11-24,1414.01,1467.81,1387.12,1467.81,36,80,41.04,3.64,1853.73,99739.6
2022-12-05,2022-12-06,1470.44,1445.47,1445.47,1520.37,39,70,33.81,-1.86,-1064.64,98674.96
2023-08-28,2023-09-04,1291.96,1324.1,1275.89,1324.1,61,70,25.63,2.33,1832.53,100507.49
2023-11-22,2023-12-06,1323.52,1358.63,1303.54,1363.48,50,70,38.29,2.49,1648.26,102155.75
2023-12-08,2023-12-13,1355.04,1338.17,1338.17,1388.77,60,90,44.8,-1.4,-1141.13,101014.62
2023-12-15,2023-12-15,1403.56,1448.0,1381.33,1448.0,45,100,37.02,3.0,1897.36,102911.98
2023-12-19,2023-12-20,1446.92,1419.23,1419.23,1502.29,37,85,39.03,-2.07,-1109.33,101802.64
2023-12-22,2024-01-03,1414.52,1382.44,1382.44,1478.69,31,90,36.44,-2.43,-1063.93,100738.71
2024-01-05,2024-01-12,1388.54,1454.52,1355.54,1454.52,30,80,29.07,4.59,1911.24,102649.95
2024-01-16,2024-01-31,1515.75,1530.59,1481.52,1584.23,29,80,20.66,0.82,359.59,103009.54
2024-02-02,2024-02-15,1535.34,1544.83,1499.85,1606.31,29,75,36.5,0.46,203.8,103213.34
2024-02-19,2024-02-20,1571.23,1538.76,1538.76,1636.17,31,70,45.51,-2.22,-1083.63,102129.7
2024-07-01,2024-07-02,1465.9,1510.93,1443.39,1510.93,45,70,42.01,2.91,1919.27,104048.97
2024-07-04,2024-07-12,1530.48,1581.27,1505.08,1581.27,40,75,51.95,3.16,1932.13,105981.09
2024-07-16,2024-07-19,1615.45,1677.33,1584.51,1677.33,34,75,80.25,3.67,2014.28,107995.37
2024-07-23,2024-07-29,1701.37,1773.38,1665.36,1773.38,29,75,85.83,4.07,2007.66,110003.02
2024-07-31,2024-08-02,1764.35,1726.03,1726.03,1840.97,28,75,85.0,-2.33,-1150.89,108852.13
2024-08-06,2024-08-16,1654.56,1736.21,1613.73,1736.21,26,80,79.19,4.77,2052.39,110904.53
2024-08-20,2024-09-02,1767.16,1841.17,1730.16,1841.17,29,70,39.05,4.02,2062.38,112966.91
2024-09-04,2024-09-09,1805.8,1779.54,1779.54,1858.31,43,75,46.07,-1.61,-1252.33,111714.58
2024-09-11,2024-09-18,1799.78,1769.09,1769.09,1861.18,36,80,49.57,-1.86,-1207.88,110506.7
2024-09-30,2024-10-08,1767.16,1838.98,1731.26,1838.98,30,80,26.09,3.9,2067.89,112574.59
2024-10-15,2024-10-16,1842.36,1804.27,1804.27,1918.56,29,70,20.51,-2.23,-1189.39,111385.2
2024-10-18,2024-10-21,1780.14,1738.58,1738.58,1863.25,26,80,24.51,-2.49,-1153.68,110231.52
2024-11-26,2024-11-28,1811.01,1769.82,1769.82,1893.38,26,100,28.14,-2.43,-1145.29,109086.23
2024-12-13,2024-12-19,1872.61,1834.92,1834.92,1947.99,28,80,21.69,-2.17,-1138.31,107947.92
2025-01-13,2025-01-17,1859.54,1816.87,1816.87,1944.88,25,85,28.51,-2.45,-1140.33,106807.59
2025-11-14,2025-11-14,1487.8,1464.51,1464.51,1534.39,45,80,25.89,-1.72,-1154.36,105653.24
2025-12-10,2025-12-11,1573.94,1547.71,1547.71,1626.41,40,70,36.22,-1.83,-1149.19,104504.05
2025-12-15,2025-12-19,1551.43,1601.25,1526.52,1601.25,41,70,42.8,3.05,1939.29,106443.34
2025-12-26,2025-12-30,1628.17,1600.82,1600.82,1682.87,38,70,62.65,-1.84,-1137.5,105305.84
2026-01-19,2026-01-20,1649.31,1618.46,1618.46,1711.0,34,80,27.89,-2.03,-1137.67,104168.16
2026-01-28,2026-01-28,1644.42,1615.79,1615.79,1701.68,36,85,26.57,-1.9,-1124.59,103043.57
2026-01-30,2026-01-30,1619.95,1591.48,1591.48,1676.88,36,90,28.92,-1.92,-1117.4,101926.18
2026-02-03,2026-02-03,1690.62,1659.38,1659.38,1753.09,32,70,26.28,-2.01,-1085.39,100840.79
