Entry Date,Exit Date,Entry Price,Exit Price,Stop Loss,Target,Quantity,Indicator Score,ADX,Profit %,Net Profit,Capital
2022-08-16,2022-08-19,1790.38,1861.35,1754.9,1861.35,28,70,66.9,3.8,1905.33,101905.33
2022-08-23,2022-09-02,1800.01,1871.56,1764.24,1871.56,28,80,58.59,3.81,1921.06,103826.39
2022-09-06,2022-09-16,1899.92,1858.73,1858.73,1982.31,25,80,45.28,-2.33,-1104.95,102721.44
2022-09-20,2022-09-21,1858.73,1824.0,1824.0,1928.17,29,70,37.8,-2.03,-1092.46,101628.98
2022-10-11,2022-10-11,1851.79,1807.96,1807.96,1939.46,23,75,29.01,-2.53,-1075.46,100553.52
2022-10-13,2022-10-27,1829.85,1890.54,1785.28,1918.98,22,75,29.47,3.15,1269.7,101823.23
2022-11-03,2022-11-17,1930.92,1953.59,1886.82,2019.12,23,70,22.22,1.01,449.9,102273.13
2022-11-21,2022-12-01,1943.43,2021.56,1904.37,2021.56,26,70,46.22,3.86,1948.82,104221.94
2022-12-05,2022-12-08,2017.5,2083.87,1984.32,2083.87,31,85,39.82,3.13,1955.74,106177.68
2022-12-12,2022-12-22,2068.47,2033.11,2033.11,2139.18,30,85,50.45,-1.87,-1159.16,105018.52
2022-12-26,2023-01-06,1975.92,2008.45,1934.81,2058.14,25,80,58.1,1.49,733.68,105752.21
2023-01-13,2023-01-13,2080.98,2043.75,2043.75,2155.44,28,85,37.82,-1.95,-1134.86,104617.35
2023-01-17,2023-01-17,2059.81,2131.02,2024.2,2131.02,29,75,39.83,3.29,1967.85,106585.2
2023-01-19,2023-01-24,2175.27,2132.31,2132.31,2261.18,24,85,43.34,-2.13,-1113.62,105471.58
2023-01-27,2023-01-30,2093.3,2045.15,2045.15,2189.62,21,100,47.6,-2.46,-1080.8,104390.78
2023-02-01,2023-02-14,2053.16,2109.62,1998.67,2162.15,19,80,40.25,2.59,1009.36,105400.14
2023-02-22,2023-02-22,2145.57,2105.1,2105.1,2226.52,26,70,24.5,-2.04,-1140.79,104259.35
2023-05-11,2023-05-11,2213.91,2173.13,2173.13,2295.48,25,75,25.85,-2.0,-1107.29,103152.06
2023-06-06,2023-06-08,2184.07,2244.77,2153.73,2244.77,33,75,30.65,2.62,1886.08,105038.14
