Entry Date,Exit Date,Entry Price,Exit Price,Stop Loss,Target,Quantity,Indicator Score,ADX,Profit %,Net Profit,Capital
2022-05-30,2022-06-03,1184.38,1253.82,1149.66,1253.82,28,75,33.26,5.7,1889.58,101889.58
2022-06-07,2022-06-13,1254.54,1220.19,1220.19,1323.24,29,75,34.74,-2.9,-1053.58,100836.0
2022-06-15,2022-06-20,1185.54,1151.32,1151.32,1253.96,29,70,40.86,-3.04,-1046.35,99789.65
2022-06-22,2022-06-23,1158.61,1123.27,1123.27,1229.29,28,70,34.79,-3.21,-1040.6,98749.05
2022-08-02,2022-08-17,1165.13,1207.09,1140.97,1213.46,40,70,25.62,3.44,1602.61,100351.66
2022-08-19,2022-08-22,1204.15,1182.44,1182.44,1247.57,46,75,37.88,-1.96,-1086.45,99265.21
2022-08-24,2022-08-29,1199.65,1178.73,1178.73,1241.49,47,90,40.02,-1.9,-1072.56,98192.66
2022-09-01,2022-09-02,1173.55,1153.0,1153.0,1214.63,47,80,30.17,-1.91,-1053.06,97139.6
2022-10-31,2022-11-14,1154.62,1190.09,1130.3,1203.26,39,80,26.61,2.91,1310.01,98449.6
2022-11-16,2022-11-21,1185.97,1164.17,1164.17,1229.58,45,90,45.6,-2.0,-1065.88,97383.72
2022-11-23,2022-11-28,1170.07,1152.0,1152.0,1206.2,53,70,52.78,-1.7,-1055.93,96327.8
2022-11-30,2022-12-07,1232.55,1208.41,1208.41,1280.83,39,100,39.09,-2.12,-1017.61,95310.19
2022-12-12,2022-12-23,1174.84,1150.31,1150.31,1223.89,38,80,28.57,-2.25,-1002.67,94307.52
2023-05-08,2023-05-19,1113.27,1109.61,1097.41,1145.0,59,70,60.02,-0.49,-320.73,93986.79
2023-05-30,2023-05-31,1145.35,1130.28,1130.28,1175.48,62,80,32.23,-1.47,-1046.99,92939.79
2023-07-05,2023-07-10,1185.52,1217.55,1169.5,1217.55,58,70,23.15,2.54,1746.52,94686.32
2023-07-12,2023-07-19,1256.99,1297.51,1236.74,1297.51,46,85,30.15,3.06,1769.72,96456.04
2023-07-21,2023-07-21,1284.42,1258.36,1258.36,1336.54,37,85,58.45,-2.19,-1039.59,95416.45
2023-07-25,2023-08-07,1227.8,1242.5,1199.92,1283.57,34,80,58.53,1.04,432.45,95848.9
2023-09-13,2023-09-20,1205.46,1187.71,1187.71,1240.97,53,70,58.08,-1.63,-1042.42,94806.48
2023-11-29,2023-11-30,1189.65,1178.07,1178.07,1212.81,79,80,31.07,-1.13,-1064.46,93742.02
2023-12-08,2023-12-12,1217.25,1204.8,1204.8,1242.13,75,75,37.72,-1.18,-1078.53,92663.48
2023-12-14,2023-12-18,1212.38,1238.65,1199.24,1238.65,70,90,36.42,2.01,1701.82,94365.3
2023-12-20,2023-12-20,1270.21,1253.25,1253.25,1304.13,55,85,37.23,-1.49,-1043.82,93321.48
2023-12-22,2024-01-05,1264.55,1288.31,1244.61,1304.42,46,85,44.13,1.72,999.17,94320.65
2024-01-09,2024-01-11,1284.51,1325.84,1263.84,1325.84,45,70,66.97,3.06,1765.89,96086.53
2024-01-15,2024-01-18,1358.62,1337.13,1337.13,1401.59,44,85,64.23,-1.74,-1040.41,95046.12
2024-01-23,2024-01-23,1355.4,1330.43,1330.43,1405.36,38,100,63.91,-2.0,-1030.86,94015.27
2024-01-25,2024-01-29,1326.95,1380.49,1300.18,1380.49,35,80,55.31,3.87,1798.09,95813.36
2024-01-31,2024-02-13,1387.27,1458.52,1351.65,1458.52,26,100,48.96,4.97,1793.25,97606.61
2024-02-15,2024-02-28,1465.67,1438.28,1430.59,1535.85,27,75,52.74,-2.03,-802.38,96804.23
2024-03-01,2024-03-04,1446.06,1491.37,1423.41,1491.37,42,80,48.37,2.97,1804.2,98608.43
2024-03-06,2024-03-11,1475.65,1451.99,1451.99,1522.98,41,70,38.92,-1.76,-1066.27,97542.16
2024-03-13,2024-03-13,1462.14,1436.35,1436.35,1513.73,37,70,26.79,-1.92,-1040.25,96501.91
2024-04-04,2024-04-04,1462.12,1437.83,1437.83,1510.7,39,70,22.76,-1.82,-1037.76,95464.15
2024-04-09,2024-04-09,1471.26,1448.61,1448.61,1516.55,42,70,21.74,-1.7,-1049.34,94414.81
2024-04-12,2024-04-15,1458.29,1435.41,1435.41,1504.04,41,70,21.82,-1.73,-1032.83,93381.99
2024-04-26,2024-05-03,1446.51,1420.98,1420.98,1497.55,36,80,27.41,-1.92,-1001.46,92380.53
