Entry Date,Exit Date,Entry Price,Exit Price,Stop Loss,Target,Quantity,Indicator Score,ADX,Profit %,Net Profit,Capital
2022-07-18,2022-07-20,450.16,465.47,442.5,465.47,130,70,55.23,3.24,1895.8,101895.8
2022-07-25,2022-07-28,476.96,493.74,468.57,493.74,121,85,69.26,3.35,1935.87,103831.68
2022-08-01,2022-08-08,491.5,481.94,481.94,510.61,108,85,62.03,-2.1,-1116.12,102715.56
2022-08-11,2022-08-25,483.09,483.46,472.1,505.07,93,80,54.78,-0.08,-37.36,102678.2
2022-09-09,2022-09-14,510.64,532.08,499.91,532.08,95,80,20.02,4.04,1958.23,104636.43
2022-09-16,2022-09-23,528.71,517.96,517.96,550.21,97,85,29.46,-2.19,-1123.98,103512.45
2022-09-27,2022-09-28,505.9,494.21,494.21,529.27,88,80,38.94,-2.47,-1098.75,102413.7
2022-10-19,2022-10-20,523.04,509.66,509.66,549.8,76,85,49.22,-2.72,-1079.76,101333.93
2022-10-24,2022-11-04,526.76,550.53,514.87,550.53,85,75,47.51,4.35,1947.17,103281.1
2022-11-09,2022-11-10,576.92,563.53,563.53,603.71,77,85,41.12,-2.48,-1101.63,102179.47
2022-11-14,2022-11-25,561.08,564.29,547.58,588.08,75,85,48.6,0.41,172.86,102352.33
2022-11-29,2022-12-12,564.01,569.54,555.16,581.7,115,70,43.16,0.82,531.4,102883.73
2023-03-06,2023-03-10,524.81,513.86,513.86,546.7,93,80,31.53,-2.24,-1095.55,101788.18
2023-05-10,2023-05-10,534.19,524.37,524.37,553.82,103,70,73.0,-2.0,-1098.46,100689.72
2023-05-12,2023-05-25,533.91,539.99,523.98,553.77,101,70,69.94,0.98,527.82,101217.54
2023-05-29,2023-06-09,548.12,548.07,538.51,567.35,105,70,26.83,-0.17,-97.38,101120.16
2023-06-13,2023-06-15,548.78,542.52,542.52,561.3,161,70,26.01,-1.3,-1148.47,99971.69
2023-07-04,2023-07-17,557.07,569.29,549.85,571.51,138,85,42.88,2.03,1561.62,101533.31
2023-07-19,2023-07-21,563.18,582.51,553.52,582.51,105,85,35.56,3.27,1933.11,103466.42
2023-07-25,2023-07-25,588.89,579.14,579.14,608.39,106,75,42.85,-1.81,-1132.35,102334.07
2023-07-27,2023-08-02,583.78,573.02,573.02,605.29,95,90,41.73,-2.0,-1109.74,101224.33
2023-08-04,2023-08-04,563.32,552.22,552.22,585.52,91,80,34.74,-2.13,-1091.41,100132.92
2023-09-18,2023-09-21,567.11,558.5,558.5,584.33,116,70,20.5,-1.68,-1103.4,99029.51
2023-09-25,2023-09-25,569.67,559.85,559.85,589.29,100,100,26.7,-1.88,-1071.6,97957.91
2023-09-27,2023-10-09,562.04,552.23,552.23,581.67,99,90,30.57,-1.9,-1059.68,96898.24
2023-11-13,2023-11-17,550.25,541.96,541.96,566.83,116,70,31.6,-1.67,-1063.03,95835.2
2023-12-05,2023-12-06,563.56,579.91,555.38,579.91,117,80,32.58,2.74,1805.99,97641.2
2023-12-08,2023-12-15,577.72,596.04,568.56,596.04,106,90,26.74,3.01,1842.3,99483.5
2023-12-19,2023-12-20,614.18,603.09,603.09,636.36,89,85,55.93,-1.96,-1073.76,98409.73
2023-12-22,2024-01-05,610.63,607.98,596.38,639.13,69,85,66.0,-0.59,-250.24,98159.5
2024-01-15,2024-01-17,605.09,594.63,594.63,626.01,93,80,35.04,-1.89,-1062.21,97097.29
2024-02-07,2024-02-08,620.38,652.45,604.35,652.45,60,70,20.64,5.0,1862.82,98960.11
2024-02-13,2024-02-15,671.05,713.46,649.85,713.46,46,75,27.12,6.15,1899.85,100859.96
2024-02-19,2024-03-01,718.55,728.44,696.35,762.93,45,75,41.06,1.22,393.27,101253.23
2024-03-06,2024-03-12,742.18,726.38,726.38,773.77,64,70,70.64,-2.29,-1086.34,100166.89
2024-03-21,2024-04-05,702.73,724.28,686.08,736.03,60,80,32.92,2.9,1224.27,101391.16
2024-04-09,2024-04-15,727.78,714.33,714.33,754.69,75,75,26.95,-2.01,-1095.67,100295.49
2024-04-18,2024-04-19,712.25,698.53,698.53,739.68,73,70,31.92,-2.08,-1083.63,99211.85
2024-04-23,2024-04-25,729.58,757.71,715.51,757.71,70,80,26.51,3.69,1886.16,101098.01
2024-04-29,2024-05-13,764.29,766.0,748.28,796.32,63,90,29.26,0.06,30.27,101128.28
2024-05-15,2024-05-16,777.55,756.65,756.65,819.34,48,70,39.16,-2.85,-1061.95,100066.33
2024-05-21,2024-06-03,777.55,816.13,758.26,816.13,51,70,36.62,4.8,1902.55,101968.88
2024-07-10,2024-07-10,828.24,813.56,813.56,857.6,69,70,24.77,-1.93,-1103.43,100865.45
2024-07-12,2024-07-15,824.97,853.9,810.5,853.9,69,90,25.02,3.34,1903.5,102768.95
2024-07-18,2024-07-23,848.03,833.02,833.02,878.05,68,70,21.57,-1.93,-1112.25,101656.7
2024-10-07,2024-10-07,770.37,756.79,756.79,797.53,74,80,26.77,-1.92,-1095.41,100561.28
2024-12-10,2024-12-13,829.88,811.23,811.23,867.18,53,70,21.49,-2.41,-1058.06,99503.23
2024-12-17,2024-12-18,826.75,813.33,813.33,853.58,74,90,31.21,-1.78,-1089.88,98413.35
2024-12-20,2024-12-20,803.97,789.85,789.85,832.22,69,70,29.05,-1.92,-1062.57,97350.78
2025-03-28,2025-04-07,743.5,730.77,730.77,768.96,76,80,32.67,-1.87,-1057.24,96293.53
2025-04-21,2025-05-05,773.26,753.93,753.93,811.91,49,80,37.75,-2.66,-1006.93,95286.6
2025-05-30,2025-06-02,783.87,806.66,772.48,806.66,83,85,25.47,2.74,1785.83,97072.43
2025-06-04,2025-06-05,802.53,790.92,790.92,825.76,83,85,29.59,-1.61,-1069.65,96002.78
2025-06-09,2025-06-12,802.93,791.53,791.53,825.73,84,100,34.42,-1.58,-1064.89,94937.9
2025-06-16,2025-06-27,778.47,791.14,766.51,802.39,79,70,46.94,1.47,901.85,95839.75
2025-07-09,2025-07-16,795.66,818.0,784.49,818.0,85,70,20.87,2.65,1789.19,97628.94
2025-07-18,2025-07-18,817.27,806.65,806.65,838.51,91,100,33.15,-1.46,-1084.9,96544.04
2025-07-22,2025-07-22,812.85,802.61,802.61,833.33,94,90,37.14,-1.42,-1084.08,95459.96
2025-07-24,2025-07-25,805.48,794.96,794.96,826.52,90,100,37.7,-1.47,-1062.13,94397.83
2025-08-25,2025-08-26,802.98,792.96,792.96,823.01,94,90,29.58,-1.41,-1061.51,93336.32
