Entry Date,Exit Date,Entry Price,Exit Price,Stop Loss,Target,Quantity,Indicator Score,ADX,Profit %,Net Profit,Capital
2022-07-26,2022-07-29,833.84,862.82,819.36,862.82,69,70,66.36,3.31,1905.85,101905.85
2022-08-02,2022-08-03,881.33,859.23,859.23,925.53,46,85,57.48,-2.67,-1080.59,100825.26
2022-08-05,2022-08-18,882.1,859.01,859.01,928.27,43,100,49.58,-2.78,-1052.57,99772.69
2022-08-22,2022-08-22,866.71,845.29,845.29,909.54,46,70,41.7,-2.63,-1048.26,98724.43
2022-10-03,2022-10-17,917.19,943.22,894.88,961.8,44,100,25.37,2.68,1080.05,99804.48
2022-10-19,2022-10-31,938.99,977.01,919.98,977.01,52,75,57.98,3.89,1897.57,101702.06
2022-11-02,2022-11-09,999.82,981.35,981.35,1036.75,55,85,60.01,-2.01,-1102.79,100599.27
2022-11-11,2022-11-24,977.63,996.26,956.16,1020.58,46,70,57.98,1.74,784.06,101383.33
2022-12-01,2022-12-02,1015.41,999.22,999.22,1047.8,62,70,27.79,-1.75,-1103.93,100279.4
2022-12-06,2022-12-06,1000.4,984.89,984.89,1031.4,64,80,27.31,-1.71,-1093.82,99185.58
2023-01-04,2023-01-17,974.02,993.95,955.62,1010.83,53,75,29.28,1.88,972.48,100158.06
2023-01-19,2023-01-20,999.14,983.39,983.39,1030.64,63,75,30.34,-1.74,-1092.18,99065.87
2023-01-24,2023-01-25,1010.6,993.54,993.54,1044.71,58,100,37.45,-1.85,-1082.26,97983.61
2023-01-30,2023-02-01,1002.85,986.61,986.61,1035.33,60,100,34.98,-1.78,-1069.79,96913.82
2023-02-06,2023-02-17,981.72,960.25,960.25,1024.66,45,80,30.92,-2.35,-1036.06,95877.76
2023-04-03,2023-04-06,951.28,980.9,936.46,980.9,64,70,27.35,2.95,1797.03,97674.79
2023-04-11,2023-04-18,978.04,962.78,962.78,1008.56,64,70,40.83,-1.72,-1075.94,96598.85
2023-04-20,2023-04-24,968.83,952.35,952.35,1001.78,58,100,59.38,-1.86,-1044.66,95554.18
