Entry Date,Exit Date,Entry Price,Exit Price,Stop Loss,Target,Quantity,Indicator Score,ADX,Profit %,Net Profit,Capital
2022-11-23,2022-12-01,2938.27,3037.58,2888.61,3037.58,20,70,33.57,3.22,1890.71,101890.71
2022-12-05,2022-12-06,3029.15,2979.94,2979.94,3127.57,20,80,32.82,-1.78,-1080.3,100810.42
2023-01-20,2023-02-03,3036.64,3149.03,2980.44,3149.03,17,70,27.86,3.54,1826.52,102636.94
2023-02-07,2023-02-20,3130.4,3147.01,3081.86,3227.49,21,90,52.2,0.37,243.24,102880.18
2023-02-22,2023-02-27,3081.72,3033.27,3033.27,3178.6,21,70,31.59,-1.73,-1119.98,101760.2
2023-05-17,2023-05-17,2938.23,2905.07,2905.07,3004.55,30,70,33.13,-1.29,-1134.96,100625.23
2023-05-23,2023-06-05,2983.4,2967.97,2942.73,3064.73,24,70,29.62,-0.68,-484.62,100140.61
2023-07-06,2023-07-11,3006.09,2966.78,2966.78,3084.71,25,70,32.43,-1.47,-1102.21,99038.4
2023-07-13,2023-07-14,2985.58,3065.76,2945.49,3065.76,24,90,27.31,2.52,1808.11,100846.51
2023-07-18,2023-07-21,3160.14,3104.23,3104.23,3271.95,18,85,33.72,-1.93,-1096.5,99750.01
2023-07-25,2023-07-28,3096.8,3036.39,3036.39,3217.63,16,90,44.25,-2.11,-1045.09,98704.92
2023-08-01,2023-08-14,3112.75,3144.52,3050.84,3236.59,15,80,41.07,0.86,401.4,99106.31
2023-09-07,2023-09-12,3127.16,3206.99,3087.24,3206.99,24,75,41.09,2.39,1794.4,100900.71
2023-09-14,2023-09-28,3254.08,3223.73,3211.84,3338.57,23,85,41.71,-1.09,-817.31,100083.4
2023-10-03,2023-10-09,3221.4,3331.96,3166.12,3331.96,18,80,52.11,3.27,1895.67,101979.07
2023-10-11,2023-10-12,3326.95,3269.41,3269.41,3442.05,17,90,32.29,-1.89,-1068.02,100911.05
2023-11-24,2023-11-28,3193.23,3149.25,3149.25,3281.2,22,85,41.15,-1.54,-1079.24,99831.81
2023-11-30,2023-12-06,3197.98,3289.63,3152.16,3289.63,21,90,38.07,2.7,1815.58,101647.39
2023-12-08,2023-12-13,3320.03,3278.51,3278.51,3403.07,24,100,42.77,-1.41,-1123.21,100524.18
2023-12-15,2023-12-15,3350.82,3451.32,3300.58,3451.32,20,100,37.97,2.84,1901.12,102425.3
2023-12-19,2023-12-20,3513.77,3448.86,3448.86,3643.58,15,85,44.28,-2.01,-1057.2,101368.1
2023-12-22,2024-01-03,3472.64,3397.81,3397.81,3622.3,13,75,50.68,-2.31,-1044.22,100323.89
2024-01-05,2024-01-12,3358.41,3507.37,3283.93,3507.37,13,80,51.63,4.27,1865.05,102188.93
2024-01-16,2024-01-17,3563.11,3497.72,3497.72,3693.9,15,100,28.77,-1.99,-1065.62,101123.31
2024-01-19,2024-01-23,3630.27,3562.32,3562.32,3766.16,14,80,22.86,-2.03,-1031.83,100091.48
2024-02-06,2024-02-06,3678.12,3816.0,3609.18,3816.0,14,70,24.81,3.59,1846.41,101937.89
2024-02-08,2024-02-21,3763.7,3686.34,3686.34,3918.42,13,90,26.38,-2.21,-1083.17,100854.72
2024-02-23,2024-02-26,3800.51,3721.34,3721.34,3958.84,12,80,48.94,-2.24,-1022.19,99832.53
2024-02-28,2024-03-05,3768.85,3692.29,3692.29,3921.98,13,80,45.66,-2.19,-1072.91,98759.62
2024-03-07,2024-03-12,3740.69,3891.67,3665.2,3891.67,13,70,26.55,3.87,1883.39,100643.01
2024-04-12,2024-04-16,3654.19,3584.91,3584.91,3792.76,14,75,36.62,-2.05,-1051.08,99591.92
2024-06-19,2024-07-01,3547.88,3689.48,3477.08,3689.48,14,70,28.4,3.83,1901.32,101493.24
2024-07-03,2024-07-03,3726.17,3667.14,3667.14,3844.23,17,90,30.4,-1.74,-1104.07,100389.17
2024-07-05,2024-07-10,3716.9,3655.96,3655.96,3838.78,16,100,33.12,-1.8,-1069.37,99319.8
2024-07-12,2024-07-12,3689.09,3816.29,3625.49,3816.29,15,100,41.06,3.29,1817.91,101137.71
2024-07-16,2024-07-19,3867.06,4025.87,3787.65,4025.87,12,85,45.4,3.94,1829.98,102967.68
2024-07-23,2024-08-05,3979.17,3899.02,3899.02,4139.46,12,75,50.11,-2.17,-1037.36,101930.32
2024-08-07,2024-08-16,3928.07,4098.74,3842.73,4098.74,11,70,51.5,4.18,1806.74,103737.06
2024-08-20,2024-09-02,4185.42,4200.33,4100.35,4355.56,12,90,31.22,0.2,98.43,103835.49
2024-09-05,2024-09-18,4163.12,4088.69,4088.69,4311.98,13,70,43.87,-1.95,-1053.42,102782.07
2024-11-29,2024-12-05,3930.2,4111.64,3839.48,4111.64,11,80,26.33,4.45,1925.03,104707.09
2024-12-09,2024-12-17,4126.2,4031.99,4031.99,4314.61,11,70,22.0,-2.44,-1108.07,103599.02
2024-12-19,2024-12-20,3987.94,3914.26,3914.26,4135.3,14,70,28.22,-2.01,-1120.0,102479.03
2025-01-24,2025-02-03,3892.5,3796.86,3796.86,4083.77,10,70,32.37,-2.61,-1017.87,101461.16
2025-12-26,2025-12-29,3192.91,3149.56,3149.56,3279.62,23,70,49.29,-1.52,-1113.84,100347.32
