Entry Date,Exit Date,Entry Price,Exit Price,Stop Loss,Target,Quantity,Indicator Score,ADX,Profit %,Net Profit,Capital
2022-07-15,2022-07-28,1181.37,1266.28,1138.91,1266.28,23,75,31.76,7.02,1907.9,101907.9
2022-08-01,2022-08-11,1263.58,1328.83,1230.96,1328.83,31,100,52.92,5.0,1958.25,103866.15
2022-08-16,2022-08-17,1385.75,1451.31,1352.98,1451.31,31,85,70.14,4.57,1961.89,105828.04
2022-08-19,2022-08-19,1459.8,1417.32,1417.32,1544.75,24,85,79.2,-3.07,-1074.68,104753.37
2022-08-23,2022-09-02,1304.84,1413.51,1250.5,1413.51,19,80,78.97,8.16,2023.41,106776.78
2022-09-23,2022-09-23,1484.81,1442.55,1442.55,1569.33,25,80,23.04,-3.0,-1115.12,105661.66
2022-11-03,2022-11-10,1505.74,1464.23,1464.23,1588.75,25,70,21.21,-2.91,-1097.11,104564.55
2022-11-14,2022-11-17,1428.56,1380.2,1380.2,1525.26,21,80,30.16,-3.54,-1062.59,103501.96
2022-12-01,2022-12-09,1468.42,1429.64,1429.64,1545.97,26,85,33.08,-2.8,-1068.53,102433.43
2022-12-13,2022-12-16,1443.95,1417.52,1417.52,1496.81,38,90,37.02,-1.99,-1091.29,101342.14
2023-02-14,2023-02-27,1302.79,1284.36,1260.08,1388.23,23,70,35.33,-1.57,-471.62,100870.52
2023-05-03,2023-05-11,1404.54,1468.22,1372.7,1468.22,31,80,22.32,4.37,1902.97,102773.5
2023-05-19,2023-05-30,1485.46,1557.63,1449.37,1557.63,28,75,25.98,4.69,1952.57,104726.06
2023-06-01,2023-06-13,1560.98,1621.49,1530.72,1621.49,34,85,56.46,3.71,1970.83,106696.9
2023-06-15,2023-06-28,1711.95,1764.86,1675.23,1785.38,29,85,73.57,2.93,1453.93,108150.83
2023-07-03,2023-07-04,1770.45,1731.93,1731.93,1847.49,28,75,87.02,-2.33,-1157.04,106993.79
2023-07-06,2023-07-10,1727.36,1691.24,1691.24,1799.59,29,80,77.69,-2.25,-1126.69,105867.1
2023-07-13,2023-07-26,1686.71,1702.32,1647.08,1765.97,26,80,51.57,0.76,335.39,106202.49
2023-08-02,2023-08-03,1703.32,1667.49,1667.49,1774.98,29,70,28.39,-2.26,-1117.31,105085.18
2023-08-16,2023-08-22,1924.16,2025.4,1873.54,2025.4,20,85,25.42,5.1,1961.57,107046.75
2023-08-24,2023-08-25,2062.61,2006.53,2006.53,2174.78,19,75,43.85,-2.88,-1127.38,105919.37
2023-08-29,2023-09-08,2004.96,2124.25,1945.31,2124.25,17,75,59.22,5.79,1971.82,107891.19
2023-09-12,2023-09-12,2088.7,2042.65,2042.65,2180.8,23,70,63.02,-2.36,-1135.13,106756.06
2023-09-14,2023-09-25,2045.86,2145.83,1995.87,2145.83,21,70,51.91,4.72,2028.95,108785.01
2023-11-02,2023-11-07,2204.46,2316.6,2148.39,2316.6,19,85,25.47,4.92,2061.93,110846.94
2023-11-09,2023-11-17,2446.85,2598.27,2371.14,2598.27,14,85,33.86,6.02,2063.36,112910.31
2023-11-21,2023-11-30,2628.29,2773.29,2555.79,2773.29,15,75,65.44,5.35,2110.18,115020.48
2023-12-04,2023-12-04,2839.86,2780.62,2780.62,2958.35,19,85,84.96,-2.24,-1211.07,113809.42
2023-12-06,2023-12-08,2882.95,2820.31,2820.31,3008.23,18,75,83.4,-2.33,-1209.63,112599.79
2023-12-12,2023-12-26,2889.63,2962.55,2823.36,3022.19,16,75,79.99,2.36,1091.76,113691.55
2024-01-02,2024-01-02,3007.89,2945.46,2945.46,3132.75,18,70,46.31,-2.23,-1209.51,112482.04
2024-01-04,2024-01-11,3066.29,3197.72,3000.57,3197.72,17,80,39.76,4.12,2149.18,114631.22
2024-01-15,2024-01-16,3229.88,3163.19,3163.19,3363.26,17,85,31.75,-2.22,-1220.67,113410.56
2024-01-18,2024-01-29,3130.13,3269.79,3060.3,3269.79,16,70,36.94,4.3,2152.58,115563.13
2024-01-31,2024-02-07,3046.34,2957.5,2957.5,3224.03,13,80,36.06,-3.07,-1217.42,114345.71
2024-02-09,2024-02-22,3790.47,3944.08,3625.27,4120.86,6,85,28.96,3.89,884.56,115230.27
2024-02-26,2024-03-11,3865.28,4219.83,3688.01,4219.83,6,75,55.29,9.01,2088.5,117318.77
2024-03-13,2024-03-13,4012.86,3877.63,3877.63,4283.32,8,80,31.25,-3.53,-1132.32,116186.45
2024-04-22,2024-04-29,4204.73,4083.59,4083.59,4447.01,9,85,25.58,-3.04,-1149.92,115036.53
2024-05-02,2024-05-15,4398.84,4515.65,4224.68,4747.16,6,85,42.76,2.49,658.05,115694.57
2024-05-17,2024-05-31,4588.46,4549.8,4418.68,4928.03,6,70,22.32,-1.0,-275.87,115418.7
2024-06-28,2024-07-11,5349.0,5623.69,5182.52,5681.96,6,85,25.5,4.97,1595.44,117014.14
2024-07-19,2024-07-19,5297.61,5159.43,5159.43,5573.96,8,80,48.22,-2.77,-1172.34,115841.81
2024-08-01,2024-08-02,5881.91,5706.96,5706.96,6231.8,6,85,39.2,-3.13,-1105.29,114736.52
2024-08-08,2024-08-09,5503.68,5929.11,5290.97,5929.11,5,70,30.64,7.56,2081.4,116817.91
2024-08-13,2024-08-22,6361.92,6851.27,6117.24,6851.27,4,85,28.36,7.53,1915.12,118733.03
2024-08-26,2024-09-06,6985.64,7088.98,6750.32,7456.27,5,75,41.91,1.32,460.39,119193.42
2024-09-10,2024-09-23,7141.32,7501.91,6961.02,7501.91,6,70,62.06,4.89,2093.28,121286.7
2024-09-27,2024-09-30,7883.74,7711.19,7711.19,8228.85,7,85,34.5,-2.35,-1295.2,119991.5
2024-10-03,2024-10-04,7553.97,7356.27,7356.27,7949.38,6,70,38.38,-2.78,-1257.8,118733.71
2024-10-08,2024-10-08,7504.57,7931.08,7291.32,7931.08,5,70,33.3,5.52,2070.8,120804.51
2024-10-10,2024-10-16,8183.18,7933.29,7933.29,8682.96,4,75,34.71,-3.21,-1051.13,119753.38
2024-10-18,2024-10-24,7704.16,7431.66,7431.66,8249.16,4,70,28.2,-3.69,-1138.44,118614.94
2024-12-06,2024-12-10,7035.54,6833.88,6833.88,7438.86,5,70,37.22,-3.02,-1063.78,117551.16
2024-12-13,2024-12-20,6985.64,6795.43,6795.43,7366.05,6,70,37.83,-2.88,-1207.38,116343.78
2024-12-24,2025-01-03,6961.69,7389.17,6747.94,7389.17,5,80,37.22,5.98,2080.02,118423.8
2025-06-02,2025-06-04,5669.34,5528.42,5528.42,5951.19,8,80,33.42,-2.64,-1199.06,117224.74
2025-06-06,2025-06-13,5688.31,5555.22,5555.22,5954.47,8,80,27.96,-2.5,-1136.63,116088.12
2025-06-25,2025-07-04,6081.01,5901.35,5901.35,6440.35,6,80,25.01,-3.11,-1135.51,114952.6
