Entry Date,Exit Date,Entry Price,Exit Price,Stop Loss,Target,Quantity,MTF Score,Indicator Score,Final Score,Profit %,Net Profit,Capital
2011-01-18,2011-01-31,208.66,192.54,192.54,240.91,62,87.72,55,77.9,-7.88,-1019.48,98980.52
2011-03-24,2011-04-06,203.96,198.77,191.72,228.45,80,68.4,50,62.88,-2.7,-441.31,98539.21
2011-04-08,2011-04-26,197.02,200.2,187.29,216.47,101,68.4,70,68.88,1.45,289.0,98828.21
2011-06-16,2011-06-29,215.85,222.74,202.65,242.25,74,55.95,75,61.66,3.03,484.32,99312.53
2011-07-01,2011-07-14,223.89,228.81,211.01,249.63,77,60.32,80,66.22,2.04,351.38,99663.91
2011-07-18,2011-07-29,225.36,232.04,215.28,245.54,98,59.8,70,62.86,2.8,617.98,100281.88
2011-08-02,2011-08-05,232.84,220.45,220.45,257.63,80,68.17,90,74.72,-5.48,-1020.38,99261.51
2011-11-11,2011-11-24,221.09,226.26,207.93,247.43,75,74.49,90,79.14,2.17,360.44,99621.95
2012-01-24,2012-02-07,236.68,245.43,224.89,260.26,84,87.72,90,88.4,3.53,702.53,100324.48
2012-02-09,2012-02-23,248.67,246.15,233.24,279.53,65,92.45,100,94.72,-1.17,-189.89,100134.58
2012-02-27,2012-03-12,248.04,259.79,234.21,275.71,72,78.34,55,71.34,4.57,816.61,100951.2
2012-03-14,2012-03-16,265.81,252.84,252.84,291.75,77,75.83,55,69.58,-5.04,-1030.64,99920.55
2012-03-20,2012-04-02,253.41,258.59,237.95,284.32,64,88.6,80,86.02,1.89,305.72,100226.27
2012-04-13,2012-04-26,257.96,269.42,243.09,287.7,67,78.86,50,70.2,4.28,739.22,100965.49
2012-04-30,2012-05-14,268.61,254.5,254.5,296.82,71,89.13,75,84.89,-5.41,-1031.24,99934.25
2012-05-16,2012-05-29,266.78,255.14,251.37,297.61,64,89.13,80,86.39,-4.52,-771.38,99162.86
2012-05-31,2012-06-13,258.08,267.43,241.12,291.98,58,92.98,50,80.09,3.46,518.37,99681.23
2012-06-15,2012-06-28,263.24,277.81,250.6,288.52,78,75.79,55,69.55,5.37,1102.44,100783.68
2012-07-02,2012-07-13,286.83,277.96,274.7,311.07,83,75.61,85,78.43,-3.25,-773.03,100010.64
2012-07-17,2012-07-30,281.87,291.11,271.42,302.75,95,76.13,70,74.29,3.12,834.75,100845.39
2012-08-01,2012-08-14,295.62,302.83,284.15,318.57,87,75.79,55,69.55,2.28,585.51,101430.9
2012-08-17,2012-08-31,299.7,303.33,286.32,326.46,75,75.61,75,75.43,1.05,236.1,101667.0
2012-09-04,2012-09-06,303.01,291.78,291.78,325.46,90,92.98,70,86.09,-3.86,-1053.55,100613.45
2013-01-17,2013-01-30,326.74,321.68,313.96,352.32,78,89.13,65,81.89,-1.71,-435.14,100178.31
2013-02-15,2013-02-28,352.16,364.03,337.84,380.79,69,88.6,85,87.52,3.21,779.3,100957.61
2013-03-04,2013-03-15,362.14,378.3,346.5,393.42,64,88.6,75,84.52,4.3,996.05,101953.66
2013-03-19,2013-04-03,378.93,392.23,363.62,409.55,66,92.45,75,87.22,3.35,836.86,102790.52
2013-04-05,2013-04-18,391.64,415.81,375.85,423.21,65,92.45,90,91.72,6.01,1528.77,104319.3
2013-04-23,2013-05-08,419.41,447.25,397.49,463.25,47,92.45,85,90.22,6.47,1275.96,105595.25
