Stock,Minimum Score,Trades,Win Rate %,Net Profit %,CAGR %,Profit Factor,Max Drawdown %
SUNPHARMA.NS,70,22,45.45,5.37,2.69,1.44,4.33
SBIN.NS,70,29,44.83,4.22,2.12,1.23,4.4
LT.NS,70,23,43.48,0.8,0.41,1.06,4.71
TRENT.NS,70,1,0.0,-0.95,-0.48,0.0,0.95
TCS.NS,70,1,0.0,-1.11,-0.57,0.0,1.11
RELIANCE.NS,70,13,38.46,-1.94,-0.99,0.78,4.34
BHARTIARTL.NS,70,21,33.33,-2.76,-1.41,0.82,7.49
INFY.NS,70,7,14.29,-4.51,-2.32,0.29,5.23
ICICIBANK.NS,70,11,18.18,-4.79,-2.46,0.36,7.52
HDFCBANK.NS,70,7,14.29,-4.96,-2.55,0.05,4.96
